Filament Name,Filament Material,Filament Link,Filament Color,Filament Color Image Link,Filament Color Hex,Link to Filament TDS
PP (Polypropylene) 3D Printer Filament 0.8KG,Unknown,https://store.sunlu.com/products/sunlu-pp-polypropylene-3d-printer-filament-800g,Ship to Europe / PP | Natural 0.8KG,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/SUNLUPP_Polypropylene_3DPrinterFilament1KG_6.png?v=1766394884,Not Available,Not Available
PP (Polypropylene) 3D Printer Filament 0.8KG,Unknown,https://store.sunlu.com/products/sunlu-pp-polypropylene-3d-printer-filament-800g,Ship to Australia / PP | Natural 0.8KG,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/SUNLUPP_Polypropylene_3DPrinterFilament1KG_6.png?v=1766394884,Not Available,Not Available
PP (Polypropylene) 3D Printer Filament 0.8KG,Unknown,https://store.sunlu.com/products/sunlu-pp-polypropylene-3d-printer-filament-800g,Ship to Canada / PP | Natural 0.8KG,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/SUNLUPP_Polypropylene_3DPrinterFilament1KG_6.png?v=1766394884,Not Available,Not Available
"SUNLU Matte PLA Dual-Color 3D Printer Esthenic Filament 1KG, Seamless Two-Tone Shifts & Soft Matte Finish",Matte PLA,https://store.sunlu.com/products/sunlu-matte-pla-dual-color-3d-printer-esthenic-filament-1kg,Ship to USA / Red+Yellow,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/Red_YellowMattePLADual-Color_94159acb-bdde-4546-9019-94cbbc719d2a.jpg?v=1766390368,Not Available,Not Available
"SUNLU Matte PLA Dual-Color 3D Printer Esthenic Filament 1KG, Seamless Two-Tone Shifts & Soft Matte Finish",Matte PLA,https://store.sunlu.com/products/sunlu-matte-pla-dual-color-3d-printer-esthenic-filament-1kg,Ship to USA / Red+Blue,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/Red_BlueMattePLADual-Color_2ea2c8f4-c223-4fcb-846b-e159321e2be2.jpg?v=1766390368,Not Available,Not Available
"SUNLU Matte PLA Dual-Color 3D Printer Esthenic Filament 1KG, Seamless Two-Tone Shifts & Soft Matte Finish",Matte PLA,https://store.sunlu.com/products/sunlu-matte-pla-dual-color-3d-printer-esthenic-filament-1kg,Ship to USA / Black+Red,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/Black_redMattePLADual-Color_e0add5d0-ff2c-422d-938d-bcfab7ee6d7f.jpg?v=1766390368,Not Available,Not Available
"SUNLU Matte PLA Dual-Color 3D Printer Esthenic Filament 1KG, Seamless Two-Tone Shifts & Soft Matte Finish",Matte PLA,https://store.sunlu.com/products/sunlu-matte-pla-dual-color-3d-printer-esthenic-filament-1kg,Ship to USA / Orange+Red,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/Orange_RedMattePLADual-Color_8e0e1037-6640-4bec-958b-0bd16fc856ec.jpg?v=1766390368,Not Available,Not Available
"SUNLU Matte PLA Dual-Color 3D Printer Esthenic Filament 1KG, Seamless Two-Tone Shifts & Soft Matte Finish",Matte PLA,https://store.sunlu.com/products/sunlu-matte-pla-dual-color-3d-printer-esthenic-filament-1kg,Ship to USA / Black+Blue,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/Black_BlueMattePLADual-Color_266cfc2c-5783-43b9-90bd-aed65a66c205.jpg?v=1766390368,Not Available,Not Available
"SUNLU Matte PLA Dual-Color 3D Printer Esthenic Filament 1KG, Seamless Two-Tone Shifts & Soft Matte Finish",Matte PLA,https://store.sunlu.com/products/sunlu-matte-pla-dual-color-3d-printer-esthenic-filament-1kg,Ship to USA / Yellow+Cyan,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/Yellow_CyanMattePLADual-Color_a93ba064-58d9-48c4-bacb-aeab81565b8f.jpg?v=1766390368,Not Available,Not Available
"SUNLU Matte PLA Dual-Color 3D Printer Esthenic Filament 1KG, Seamless Two-Tone Shifts & Soft Matte Finish",Matte PLA,https://store.sunlu.com/products/sunlu-matte-pla-dual-color-3d-printer-esthenic-filament-1kg,Ship to USA / Green+Purple,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/Green_PurpleMattePLADual-Color_52c8bb47-ba05-4af6-811e-6506b615ef01.jpg?v=1766390368,Not Available,Not Available
"SUNLU Matte PLA Dual-Color 3D Printer Esthenic Filament 1KG, Seamless Two-Tone Shifts & Soft Matte Finish",Matte PLA,https://store.sunlu.com/products/sunlu-matte-pla-dual-color-3d-printer-esthenic-filament-1kg,Ship to Europe / Red+Yellow,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/Red_YellowMattePLADual-Color_94159acb-bdde-4546-9019-94cbbc719d2a.jpg?v=1766390368,Not Available,Not Available
"SUNLU Matte PLA Dual-Color 3D Printer Esthenic Filament 1KG, Seamless Two-Tone Shifts & Soft Matte Finish",Matte PLA,https://store.sunlu.com/products/sunlu-matte-pla-dual-color-3d-printer-esthenic-filament-1kg,Ship to Europe / Red+Blue,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/Red_BlueMattePLADual-Color_2ea2c8f4-c223-4fcb-846b-e159321e2be2.jpg?v=1766390368,Not Available,Not Available
"SUNLU Matte PLA Dual-Color 3D Printer Esthenic Filament 1KG, Seamless Two-Tone Shifts & Soft Matte Finish",Matte PLA,https://store.sunlu.com/products/sunlu-matte-pla-dual-color-3d-printer-esthenic-filament-1kg,Ship to Europe / Black+Red,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/Black_redMattePLADual-Color_e0add5d0-ff2c-422d-938d-bcfab7ee6d7f.jpg?v=1766390368,Not Available,Not Available
"SUNLU Matte PLA Dual-Color 3D Printer Esthenic Filament 1KG, Seamless Two-Tone Shifts & Soft Matte Finish",Matte PLA,https://store.sunlu.com/products/sunlu-matte-pla-dual-color-3d-printer-esthenic-filament-1kg,Ship to Europe / Orange+Red,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/Orange_RedMattePLADual-Color_8e0e1037-6640-4bec-958b-0bd16fc856ec.jpg?v=1766390368,Not Available,Not Available
"SUNLU Matte PLA Dual-Color 3D Printer Esthenic Filament 1KG, Seamless Two-Tone Shifts & Soft Matte Finish",Matte PLA,https://store.sunlu.com/products/sunlu-matte-pla-dual-color-3d-printer-esthenic-filament-1kg,Ship to Europe / Black+Blue,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/Black_BlueMattePLADual-Color_266cfc2c-5783-43b9-90bd-aed65a66c205.jpg?v=1766390368,Not Available,Not Available
"SUNLU Matte PLA Dual-Color 3D Printer Esthenic Filament 1KG, Seamless Two-Tone Shifts & Soft Matte Finish",Matte PLA,https://store.sunlu.com/products/sunlu-matte-pla-dual-color-3d-printer-esthenic-filament-1kg,Ship to Europe / Yellow+Cyan,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/Yellow_CyanMattePLADual-Color_a93ba064-58d9-48c4-bacb-aeab81565b8f.jpg?v=1766390368,Not Available,Not Available
"SUNLU Matte PLA Dual-Color 3D Printer Esthenic Filament 1KG, Seamless Two-Tone Shifts & Soft Matte Finish",Matte PLA,https://store.sunlu.com/products/sunlu-matte-pla-dual-color-3d-printer-esthenic-filament-1kg,Ship to Europe / Green+Purple,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/Green_PurpleMattePLADual-Color_52c8bb47-ba05-4af6-811e-6506b615ef01.jpg?v=1766390368,Not Available,Not Available
"SUNLU Matte PLA Dual-Color 3D Printer Esthenic Filament 1KG, Seamless Two-Tone Shifts & Soft Matte Finish",Matte PLA,https://store.sunlu.com/products/sunlu-matte-pla-dual-color-3d-printer-esthenic-filament-1kg,Ship to Canada / Red+Yellow,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/Red_YellowMattePLADual-Color_94159acb-bdde-4546-9019-94cbbc719d2a.jpg?v=1766390368,Not Available,Not Available
"SUNLU Matte PLA Dual-Color 3D Printer Esthenic Filament 1KG, Seamless Two-Tone Shifts & Soft Matte Finish",Matte PLA,https://store.sunlu.com/products/sunlu-matte-pla-dual-color-3d-printer-esthenic-filament-1kg,Ship to Canada / Red+Blue,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/Red_BlueMattePLADual-Color_2ea2c8f4-c223-4fcb-846b-e159321e2be2.jpg?v=1766390368,Not Available,Not Available
"SUNLU Matte PLA Dual-Color 3D Printer Esthenic Filament 1KG, Seamless Two-Tone Shifts & Soft Matte Finish",Matte PLA,https://store.sunlu.com/products/sunlu-matte-pla-dual-color-3d-printer-esthenic-filament-1kg,Ship to Canada / Black+Red,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/Black_redMattePLADual-Color_e0add5d0-ff2c-422d-938d-bcfab7ee6d7f.jpg?v=1766390368,Not Available,Not Available
"SUNLU Matte PLA Dual-Color 3D Printer Esthenic Filament 1KG, Seamless Two-Tone Shifts & Soft Matte Finish",Matte PLA,https://store.sunlu.com/products/sunlu-matte-pla-dual-color-3d-printer-esthenic-filament-1kg,Ship to Canada / Orange+Red,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/Orange_RedMattePLADual-Color_8e0e1037-6640-4bec-958b-0bd16fc856ec.jpg?v=1766390368,Not Available,Not Available
"SUNLU Matte PLA Dual-Color 3D Printer Esthenic Filament 1KG, Seamless Two-Tone Shifts & Soft Matte Finish",Matte PLA,https://store.sunlu.com/products/sunlu-matte-pla-dual-color-3d-printer-esthenic-filament-1kg,Ship to Canada / Black+Blue,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/Black_BlueMattePLADual-Color_266cfc2c-5783-43b9-90bd-aed65a66c205.jpg?v=1766390368,Not Available,Not Available
"SUNLU Matte PLA Dual-Color 3D Printer Esthenic Filament 1KG, Seamless Two-Tone Shifts & Soft Matte Finish",Matte PLA,https://store.sunlu.com/products/sunlu-matte-pla-dual-color-3d-printer-esthenic-filament-1kg,Ship to Canada / Yellow+Cyan,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/Yellow_CyanMattePLADual-Color_a93ba064-58d9-48c4-bacb-aeab81565b8f.jpg?v=1766390368,Not Available,Not Available
"SUNLU Matte PLA Dual-Color 3D Printer Esthenic Filament 1KG, Seamless Two-Tone Shifts & Soft Matte Finish",Matte PLA,https://store.sunlu.com/products/sunlu-matte-pla-dual-color-3d-printer-esthenic-filament-1kg,Ship to Canada / Green+Purple,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/Green_PurpleMattePLADual-Color_52c8bb47-ba05-4af6-811e-6506b615ef01.jpg?v=1766390368,Not Available,Not Available
"SUNLU Matte PLA Dual-Color 3D Printer Esthenic Filament 1KG, Seamless Two-Tone Shifts & Soft Matte Finish",Matte PLA,https://store.sunlu.com/products/sunlu-matte-pla-dual-color-3d-printer-esthenic-filament-1kg,Ship to Australia / Red+Yellow,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/Red_YellowMattePLADual-Color_94159acb-bdde-4546-9019-94cbbc719d2a.jpg?v=1766390368,Not Available,Not Available
"SUNLU Matte PLA Dual-Color 3D Printer Esthenic Filament 1KG, Seamless Two-Tone Shifts & Soft Matte Finish",Matte PLA,https://store.sunlu.com/products/sunlu-matte-pla-dual-color-3d-printer-esthenic-filament-1kg,Ship to Australia / Red+Blue,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/Red_BlueMattePLADual-Color_2ea2c8f4-c223-4fcb-846b-e159321e2be2.jpg?v=1766390368,Not Available,Not Available
"SUNLU Matte PLA Dual-Color 3D Printer Esthenic Filament 1KG, Seamless Two-Tone Shifts & Soft Matte Finish",Matte PLA,https://store.sunlu.com/products/sunlu-matte-pla-dual-color-3d-printer-esthenic-filament-1kg,Ship to Australia / Black+Red,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/Black_redMattePLADual-Color_e0add5d0-ff2c-422d-938d-bcfab7ee6d7f.jpg?v=1766390368,Not Available,Not Available
"SUNLU Matte PLA Dual-Color 3D Printer Esthenic Filament 1KG, Seamless Two-Tone Shifts & Soft Matte Finish",Matte PLA,https://store.sunlu.com/products/sunlu-matte-pla-dual-color-3d-printer-esthenic-filament-1kg,Ship to Australia / Orange+Red,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/Orange_RedMattePLADual-Color_8e0e1037-6640-4bec-958b-0bd16fc856ec.jpg?v=1766390368,Not Available,Not Available
"SUNLU Matte PLA Dual-Color 3D Printer Esthenic Filament 1KG, Seamless Two-Tone Shifts & Soft Matte Finish",Matte PLA,https://store.sunlu.com/products/sunlu-matte-pla-dual-color-3d-printer-esthenic-filament-1kg,Ship to Australia / Black+Blue,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/Black_BlueMattePLADual-Color_266cfc2c-5783-43b9-90bd-aed65a66c205.jpg?v=1766390368,Not Available,Not Available
